category,description,qualification,requirement,clean_description,Keywords
Systems Software Engineering,We are looking for a Systems Software Engineering Intern! Are you passionate about Imaging systems? Do you want to explore and be part of a highly innovative and creative global Imaging Team? Then this is the opportunity you should be looking for. We at NVIDIA will provide you opportunity to explore your passion and work on the newest technology collaborating with industry authorities.,"We are searching for highly self-motivated and dedicated engineer with strong academic background.
Good understanding of Operating system fundamental, programming languages and processor architecture.
Excellent C/C++ coding skills along with proficiency in Scripting languages like Python.
Experience of working and programming on Linux environment.
We expect effective communication and team work along with good problem solving and analytical skills.
BE/B.Tech/ME/M.Tech in Compute Science/ Electrical Engineering or equivalent with strong verbal and written skills.",,we are looking for a systems software engineering intern are you passionate about imaging systems do you want to explore and be part of a highly innovative and creative global imaging team then this is the opportunity you should be looking for we at nvidia will provide you opportunity to explore your passion and work on the newest technology collaborating with industry authorities,"['systems software engineering intern', 'creative global imaging team', 'newest technology collaborating', 'imaging systems', 'industry authorities', 'highly innovative', 'work', 'want', 'provide', 'passionate', 'passion', 'part', 'opportunity', 'opportunity', 'nvidia', 'looking', 'looking', 'explore', 'explore']"
Python Developer,"
We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products.

Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.

Ultimately, you’ll build highly responsive web applications that align with our business needs.","Work experience as a Python Developer
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Knowledge of object-relational mapping (ORM)
Familiarity with front-end technologies (like JavaScript and HTML5)
Team spirit
Good problem-solving skills",,"
we are looking for a python developer to join our engineering team and help us develop and maintain various software products

python developer responsibilities include writing and testing code debugging programs and integrating applications with thirdparty web services to be successful in this role you should have experience using serverside logic and work well in a team

ultimately youll build highly responsive web applications that align with our business needs","['build highly responsive web applications', 'python developer responsibilities include writing', 'maintain various software products', 'party web services', 'help us develop', 'experience using server', 'python developer', 'integrating applications', 'work well', 'testing code', 'side logic', 'debugging programs', 'business needs', 'engineering team', 'team', '’', 'ultimately', 'third', 'successful', 'role', 'looking', 'join', 'align']"
Frontend Developer,"Join a top gaming studio as a Frontend Developer and shape the visual experience of our gaming products. As a key member of our team, you'll be responsible for designing and implementing captivating user interfaces that enhance gameplay and player engagement. Collaborate with passionate game developers and artists to create immersive gaming experiences. If you're a creative coder with a passion for gaming, apply now to play a pivotal role in crafting the future of interactive entertainment. Level up your career today!
","Bachelor's degree in Computer Science, Software Engineering, or a related field.
Proficiency in HTML, CSS, and JavaScript, with expertise in modern frontend frameworks such as React, Angular, or Vue.js.
Strong problem-solving skills, with the ability to troubleshoot and resolve complex frontend issues effectively.
Solid understanding of data structures and algorithms, applying them to optimize frontend performance.
Demonstrated experience in designing and implementing scalable and maintainable code architectures for web applications.
Familiarity with responsive design principles and cross-browser compatibility.
Experience with version control systems (e.g., Git) and frontend build tools (e.g., Webpack).
Excellent collaboration and communication skills, working seamlessly with cross-functional teams including designers and back-end engineers.
A portfolio of previous frontend projects or contributions showcasing your problem-solving and code architecture skills is a plus.",,"join a top gaming studio as a frontend developer and shape the visual experience of our gaming products as a key member of our team youll be responsible for designing and implementing captivating user interfaces that enhance gameplay and player engagement collaborate with passionate game developers and artists to create immersive gaming experiences if youre a creative coder with a passion for gaming apply now to play a pivotal role in crafting the future of interactive entertainment level up your career today
","['implementing captivating user interfaces', 'create immersive gaming experiences', 'passionate game developers', 'top gaming studio', 'gaming products', 'visual experience', 'player engagement', 'pivotal role', 'key member', 'interactive entertainment', 'frontend developer', 'enhance gameplay', 'creative coder', 'career today', 'gaming', 'team', 'shape', 'responsible', 'play', 'passion', 'level', 'join', 'future', 'designing', 'crafting', 'collaborate', 'artists', 'apply']"
Backend Developer,We are currently hiring a Python Developer to join our engineering team to support dynamic software applications and contribute to feature development in existing systems.,"Minimum  2+  years of experience in software product development preferably in python stack.

Solid understanding of Python Language.

Prior experience in writing REST APIs and working with Microservices architecture.

Working knowledge of Django and Django REST framework

Good understanding of Database systems referable PostgreSQL  and prior experience with Django ORM.

Understanding of fundamental design principles behind a scalable application.

Experience writing process automation scripts using python.

Experience in debugging and monitoring logs using AWS Cloudwatch and Kibana (ELK stack).

Knowledge of cloud based development and familiarity with AWS services like S3, Cloudwatch, ECS, Fargate etc is a plus.

Knowledge of  Flask framework is a plus.

Basic Knowledge of Frontend technologies like HTML, CSS, JS, and ReactJS is a plus.",,we are currently hiring a python developer to join our engineering team to support dynamic software applications and contribute to feature development in existing systems,"['support dynamic software applications', 'python developer', 'feature development', 'existing systems', 'engineering team', 'currently hiring', 'join', 'contribute']"
Full Stack Mobile Application Developer,"We are looking for a hybrid Mobile Application developer with hands on experience in Flutter, Python, Django, Postgresql, & connecting API’s from Freight Brokers & Load boards. Must be experienced and preferably with Logistics & Load board applications. Opportunity to grow with company into leadership position and a chance for equity in high growth Technology start up backed by Techstars."," B.Tech. Computer Science/M.C.A.
 Minimum 3 years of experience in Mobile Application Development in IOS & Android .
 Minimum 3 year of experience in Flutter Development
 Experience in Python with knowledge of Django & Postgresql will be preferred.
 Able to integrate multiple data sources and databases into one system
 Understanding of the threading and multiprocessing
 Experience with AWS will be preferred
 Knowledge of Git, GitHub & Devops",,we are looking for a hybrid mobile application developer with hands on experience in flutter python django postgresql  connecting apis from freight brokers  load boards must be experienced and preferably with logistics  load board applications opportunity to grow with company into leadership position and a chance for equity in high growth technology start up backed by techstars,"['hybrid mobile application developer', 'high growth technology start', 'connecting api ’', 'load board applications', 'load boards', 'leadership position', 'freight brokers', 'techstars', 'python', 'preferably', 'postgresql', 'opportunity', 'must', 'looking', 'logistics', 'hands', 'grow', 'flutter', 'experienced', 'experience', 'equity', 'django', 'company', 'chance', 'backed']"
Associate Software Engineer,"We are seeking a motivated and talented Associate Software Engineer Intern with a focus on HTML5, CSS3, JavaScript, PHP, MYSQL, Relational Databases, and ReactJS. This internship provides hands-on experience working with cutting-edge technologies, collaborating with cross-functional teams, and gaining exposure to various aspects of software engineering.","Enthusiastic and eager to learn about software engineering in a professional setting.
 Strong problem-solving and critical-thinking skills.
 Ability to work independently and collaborate effectively in a team environment.
 Excellent communication skills, both written and verbal."," Bachelor's degree or higher in Computer Science, or similar fields.
 Solid foundation in HTML5, CSS3, and JavaScript.
 Proficiency in PHP and experience with MYSQL and Relational Databases.
 Familiarity with ReactJS is a plus.
 Ability to work independently and in a team.
 Excellent communication and problem-solving skills.
 ""Think outside the box"" mentality.",we are seeking a motivated and talented associate software engineer intern with a focus on html5 css3 javascript php mysql relational databases and reactjs this internship provides handson experience working with cuttingedge technologies collaborating with crossfunctional teams and gaining exposure to various aspects of software engineering,"['talented associate software engineer intern', 'internship provides hands', 'software engineering', 'various aspects', 'relational databases', 'gaining exposure', 'functional teams', 'experience working', 'edge technologies', 'seeking', 'reactjs', 'php', 'mysql', 'motivated', 'javascript', 'html5', 'focus', 'cutting', 'css3', 'cross', 'collaborating']"
Data Scientist,"As a Data Scientist, you will collaborate closely with product design and engineering teams to comprehend their needs, researching and devising innovative statistical models for data analysis. Your primary responsibility will be to build and integrate these models into our product, communicating your findings to all stakeholders. Staying abreast of technical and industry developments is crucial to contribute effectively.","Bachelor’s degree (or equivalent) in statistics, technology, applied mathematics, or related discipline.
Professional certification
3-5 years of experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced experience in pattern recognition and predictive modeling
Experience with Excel, PowerPoint, SQL, and Python
Experience in building data science models using Spacy, BERT, Ahocorasick, random forest etc.
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects.","Bachelor’s degree (or equivalent) in statistics, technology, applied mathematics, or related discipline.
Professional certification
3-5 years of experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced experience in pattern recognition and predictive modeling
Experience with Excel, PowerPoint, SQL, and Python
Experience in building data science models using Spacy, BERT, Ahocorasick, random forest etc.
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects.",as a data scientist you will collaborate closely with product design and engineering teams to comprehend their needs researching and devising innovative statistical models for data analysis your primary responsibility will be to build and integrate these models into our product communicating your findings to all stakeholders staying abreast of technical and industry developments is crucial to contribute effectively,"['devising innovative statistical models', 'staying abreast', 'primary responsibility', 'industry developments', 'engineering teams', 'data scientist', 'data analysis', 'contribute effectively', 'collaborate closely', 'product design', 'models', 'product', 'technical', 'stakeholders', 'researching', 'needs', 'integrate', 'findings', 'crucial', 'comprehend', 'communicating', 'build']"
Machine Learning Engineer,"Concord isn't your typical consulting firm; we are an execution company with a passion for making things happen. Our mission is to help clients enhance customer experiences, optimize operations, and revolutionize their product offerings through seamless integration, optimization, and activation of technology and data.


We're on the lookout for a highly skilled and talented Machine Learning Engineer to join our growing team.","Undergraduate or Graduate degree (MS or PhD) in Computer Science, Engineering, Mathematics or equivalent, specializing in machine learning or a related field
• 5+ years’ experience in supporting development of production-ready solutions leveraging AI technologies: NLP, Deep Learning, Machine Learning
• Strong hands-on expertise in Python and open source libraries/frameworks/tools such as NumPy, SciPy, scikit-learn, pandas, matplotlib, spaCy, NLTK, jupyter, anaconda, transformers, etc.
• Experience with deep learning frameworks such as TensorFlow, Keras, PyTorch
• Experience in applying deep learning to NLP
• Computer vision modeling a plus
• Experience with designing, building, and optimizing data and model training pipelines
• Experience in SageMaker or Azure ML Studio a plus
• Experience with cloud-based platforms (AWS or Azure) for solution delivery
• Experience working with agile and Software Development Lifecycle tools (e.g. JIRA, Confluence, Git) and Test-Driven Development (TDD)",,"concord isnt your typical consulting firm we are an execution company with a passion for making things happen our mission is to help clients enhance customer experiences optimize operations and revolutionize their product offerings through seamless integration optimization and activation of technology and data


were on the lookout for a highly skilled and talented machine learning engineer to join our growing team","['help clients enhance customer experiences', 'talented machine learning engineer', 'typical consulting firm', 'making things happen', 'seamless integration', 'product offerings', 'optimize operations', 'highly skilled', 'growing team', 'execution company', 'technology', 'revolutionize', 'passion', 'optimization', 'mission', 'lookout', 'join', 'data', 'concord', 'activation']"
Data Science Trainee,"This is a temporary remote learning role for a Data Science Trainee. The role will involve working with the HRBOTICS team to identify trends in data and develop predictive models to improve talent discovery, sourcing, and management. The Trainee will also collaborate with cross-functional teams to implement and deploy these models.","Bachelor's degree or higher in Computer Science, Mathematics, or related technical field
Basic understanding of machine learning algorithms, data structures, and statistics
Proficient in Python and SQL
Familiarity with data visualization tools such as Tableau or PowerBI
Excellent analytical and problem-solving skills
Effective communication and collaboration skills
Ability to work independently and in a team",,this is a temporary remote learning role for a data science trainee the role will involve working with the hrbotics team to identify trends in data and develop predictive models to improve talent discovery sourcing and management the trainee will also collaborate with crossfunctional teams to implement and deploy these models,"['temporary remote learning role', 'improve talent discovery', 'develop predictive models', 'data science trainee', 'involve working', 'identify trends', 'hrbotics team', 'functional teams', 'also collaborate', 'role', 'trainee', 'models', 'data', 'sourcing', 'management', 'implement', 'deploy', 'cross']"
Data Scientist,"Our client is seeking a highly motivated and experienced Senior Data Scientist to join our growing team and play a key role in developing and deploying machine learning models to support their platform. 

The candidate needs to possess deep expertise in data science methodologies, machine learning, and natural language processing, and will have a proven track record of successfully training and deploying models, in particular large language models (LLMs), to production. 

Also, will also be able to effectively communicate your findings to both technical and non-technical audiences.","Qualification in a relevant field (e.g., computer science, mathematics, engineering, etc) - Master's degree or PhD preferred.
8+ years of experience working in data science
Proven experience training and deploying machine learning models to production
Experience training and deploying large language models (LLMs)
Strong programming skills in Python
Experience with cloud computing platforms (e.g., AWS, Azure, GCP)
Excellent communication skills
Ability to work independently and as part of a team
Experience working in a product focused role (preferred)
Strong problem-solving and analytical skills.",,"our client is seeking a highly motivated and experienced senior data scientist to join our growing team and play a key role in developing and deploying machine learning models to support their platform 

the candidate needs to possess deep expertise in data science methodologies machine learning and natural language processing and will have a proven track record of successfully training and deploying models in particular large language models llms to production 

also will also be able to effectively communicate your findings to both technical and nontechnical audiences","['experienced senior data scientist', 'particular large language models', 'deploying machine learning models', 'natural language processing', 'data science methodologies', 'proven track record', 'possess deep expertise', 'deploying models', 'machine learning', 'successfully training', 'llms ),', 'key role', 'highly motivated', 'growing team', 'effectively communicate', 'candidate needs', 'technical audiences', 'technical', 'support', 'seeking', 'production', 'play', 'platform', 'non', 'join', 'findings', 'developing', 'client', 'also', 'also', 'able']"
Software developer,"We are seeking a dedicated and experienced Software Developer to join our dynamic team. In this role, you will be working on our proprietary framework and language, contributing to the development of innovative solutions that drive our business. To prepare you for this unique opportunity, you will participate in our comprehensive, intensive Coding Training Program designed to enhance your logical thinking, problem-solving, and coding skills.","1. Bachelor's degree in Computer Science, Information Technology, or a related field.
2. Minimum of 2+ years of experience in software development or coding-related jobs.
3. Active coding for the last 6 months.
4. Previous experience in competitive coding, preferably with a proven track record on platforms like HackerRank, Codeforces, Codechef, hackerearth or LeetCode.

5. Participation in coding bootcamps, hackathons, or similar coding competitions is highly desirable.
6. Proficiency in at least one programming language such as C, C++, C#, or Java.
7. Strong problem-solving skills and knowledge of data structures and algorithms.
8. Excellent communication skills, with the ability to explain complex concepts in a clear and concise manner.
9. Good stakeholder management skills, with the ability to manage expectations and communicate effectively with various stakeholders.
10. A strong desire to learn and improve coding skills, with a commitment to personal and professional development.",,we are seeking a dedicated and experienced software developer to join our dynamic team in this role you will be working on our proprietary framework and language contributing to the development of innovative solutions that drive our business to prepare you for this unique opportunity you will participate in our comprehensive intensive coding training program designed to enhance your logical thinking problemsolving and coding skills,"['intensive coding training program designed', 'experienced software developer', 'coding skills', 'unique opportunity', 'proprietary framework', 'logical thinking', 'innovative solutions', 'dynamic team', 'working', 'solving', 'seeking', 'role', 'problem', 'prepare', 'participate', 'language', 'join', 'enhance', 'drive', 'development', 'dedicated', 'contributing', 'comprehensive', 'business']"
Data Analytics Engineer,"As a member of the global data engineering team, reporting to the Data and Analytics Manager, this role has a primary focus on contributing to our enterprise data warehousing and reporting deliverables.


Responsibilities include designing, creating, and maintaining business intelligence assets and reports that drive innovation, client value and business efficiency.


This position will be working across our largest business units and experience with multi-terabyte database systems is required.
","Experienced level knowledge - Business Intelligence/reporting tools including Microsoft SQL, SRSS, SSIS, SSAS, Power BI, DAX.
Adept at designing and implementing effective data models and Extract, Transform, Load (ETL) processes slowly changing dimensions for transforming and loading data into the data warehouse.
Experience incorporating data from varied relational systems (e.g. MySQL, Postgres etc), flat-file, API, and No-SQL sources.
Understanding of data governance practices, data lineage, and data quality management to ensure accurate, consistent, and reliable data.
Familiarity with cloud base tooling – Snowflake, DBT or Coalesce, Fivetran.
BA/BS degree in Computer Science, Computer Engineering, or related field, or equivalent practical experience.",,"as a member of the global data engineering team reporting to the data and analytics manager this role has a primary focus on contributing to our enterprise data warehousing and reporting deliverables


responsibilities include designing creating and maintaining business intelligence assets and reports that drive innovation client value and business efficiency


this position will be working across our largest business units and experience with multiterabyte database systems is required
","['maintaining business intelligence assets', 'global data engineering team', 'terabyte database systems', 'responsibilities include designing', 'largest business units', 'enterprise data warehousing', 'business efficiency', 'working across', 'primary focus', 'drive innovation', 'client value', 'analytics manager', 'reporting deliverables', 'data', 'reporting', 'role', 'required', 'reports', 'position', 'multi', 'member', 'experience', 'creating', 'contributing']"
